n_doi,scp_item_type,wos_item_type,first_pubyear,pubyear,scp_year
121,{Editorial},{Biographical-Item},2021,2021,2021
118,{Note},{Biographical-Item},2019,2019,2019
117,{Editorial},{Biographical-Item},2020,2020,2020
116,"{""Short Survey""}",NA,2022,2022,NA
115,{Letter},"{Letter,""Early Access""}",2021,2021,2021
113,NA,"{""News Item""}",NA,NA,2023
112,{Editorial},{Letter},2020,2020,2020
111,{Note},"{""Editorial Material"",""Early Access""}",2020,2020,2020
105,"{""Short Survey""}",{Letter},2021,2021,2021
104,{Erratum},"{Retraction,""Early Access""}",2023,2023,2023
102,{Article},"{""Editorial Material""}",2019,2019,2019
101,{Editorial},{Letter},2021,2021,2021
96,{Editorial},{Letter},2022,2022,2022
93,{Erratum},"{""Expression of Concern""}",2022,2022,2022
90,{Erratum},"{Correction,""Early Access""}",2023,2023,2021
89,"{""Conference Paper""}",NA,2019,2019,NA
89,{Letter},{Letter},2020,2020,2022
89,{Note},{Biographical-Item},2022,2022,2022
89,{Note},"{""Editorial Material""}",2021,2021,2020
88,{Erratum},"{""Editorial Material""}",2021,2021,2021
86,{Note},{Biographical-Item},2020,2020,2020
86,NA,"{""CC Meeting Heading""}",NA,NA,2019
85,{Letter},"{""Meeting Abstract""}",2019,2019,2019
81,"{""Short Survey""}",{Letter},2020,2020,2020
79,{Erratum},"{Correction,""Early Access""}",2022,2024,2022
78,"{""Short Survey""}",{Letter},2022,2022,2022
76,{Note},"{""Editorial Material""}",2021,2021,2022
76,{Note},"{Letter,""Early Access""}",2023,2023,2023
74,"{""Conference Paper""}",NA,2022,2022,NA
74,{Erratum},"{Retraction,""Early Access""}",2023,2023,2022
73,{Note},{Article},2022,2022,2022
72,{Article},NA,2019,2019,NA
72,{Editorial},{Letter},2019,2019,2019
72,{Letter},{Letter},2021,2021,2022
72,{Letter},"{Letter,""Early Access""}",2022,2024,2022
69,{Note},"{""News Item"",""Early Access""}",2023,2023,2023
68,{Editorial},"{""Editorial Material"",""Early Access""}",2021,2021,2021
67,{Note},{Biographical-Item},2021,2021,2021
67,NA,"{""CC Meeting Heading""}",NA,NA,2022
65,{Note},{Article},2021,2021,2021
63,{Letter},{Letter},2020,2020,2021
63,"{""Short Survey""}",{Letter},2019,2019,2019
62,"{""Short Survey""}","{""News Item""}",2019,2019,2019
62,NA,{Correction},NA,NA,2023
62,NA,{Poetry},NA,NA,2019
61,NA,"{Biographical-Item,""Early Access""}",NA,NA,2023
60,{Editorial},"{""Editorial Material""}",2021,2021,2020
60,{Letter},"{Letter,""Early Access""}",2022,2023,2022
60,{Note},"{""Editorial Material"",""Early Access""}",2023,2024,2023
58,{Erratum},"{Correction,""Early Access""}",2022,2023,2022
57,{Article},{Review},2018,2018,2018
57,{Note},"{""Book Review""}",2019,2019,2019
56,"{""Conference Paper""}","{""Meeting Abstract""}",2020,2020,2020
56,{Editorial},"{""Editorial Material"",""Early Access""}",2023,2023,2021
56,{Letter},"{Letter,""Early Access""}",2020,2020,2020
56,{Letter},"{Letter,""Early Access""}",2023,2024,2023
56,NA,"{""CC Meeting Heading""}",NA,NA,2020
56,NA,"{""Editorial Material"",""Early Access""}",NA,NA,2020
56,NA,{Poetry},NA,NA,2020
54,{Editorial},"{""Editorial Material""}",2022,2022,2023
54,{Note},"{""Editorial Material"",""Early Access""}",2023,2023,2021
54,NA,{Poetry},NA,NA,2022
54,NA,"{""Record Review""}",NA,NA,2020
53,{Erratum},"{Correction,""Early Access""}",2023,2024,2023
53,{Note},"{""Book Review""}",2022,2022,2022
53,{Note},"{""Editorial Material""}",2023,2023,2022
50,{Erratum},"{Correction,""Early Access""}",2020,2020,2020
50,{Erratum},"{""Editorial Material""}",2022,2022,2022
50,{Note},{Article},2020,2020,2020
50,{Note},"{""Book Review""}",2021,2021,2021
50,NA,"{Correction,""Early Access""}",NA,NA,2022
49,{Note},"{Letter,""Early Access""}",2023,2023,2022
48,{Editorial},{Biographical-Item},2023,2023,2023
48,{Editorial},"{""Editorial Material""}",2019,2019,2020
48,{Letter},{Letter},2023,2023,2022
47,NA,"{Correction,""Early Access""}",NA,NA,2023
47,NA,"{""Meeting Abstract""}",NA,NA,2023
46,{Editorial},"{""Editorial Material""}",2020,2020,2021
46,{Erratum},"{Retraction,""Early Access""}",2022,2022,2022
46,{Letter},{Letter},2018,2018,2019
45,{Editorial},"{""Editorial Material"",""Early Access""}",2020,2020,2020
45,"{""Short Survey""}","{""News Item""}",2020,2020,2020
44,{Letter},{Letter},2020,2020,2023
44,{Letter},"{Letter,""Early Access""}",2022,2022,2021
44,{Note},{Article},2023,2023,2023
43,{Letter},"{""Editorial Material"",""Early Access""}",2023,2023,2023
43,{Letter},{Letter},2019,2019,2020
43,NA,"{Biographical-Item,""Early Access""}",NA,NA,2022
41,{Note},"{""Editorial Material""}",2020,2020,2021
41,{Note},"{""Editorial Material"",""Early Access""}",2022,2023,2022
41,{Note},"{""Editorial Material"",""Early Access""}",2022,2024,2022
41,NA,{Poetry},NA,NA,2021
40,{Editorial},"{""Editorial Material""}",2021,2021,2022
40,{Note},"{""Editorial Material""}",2019,2019,2020
40,{Note},"{""Meeting Abstract""}",2020,2020,2020
40,NA,"{""News Item"",""Early Access""}",NA,NA,2021
39,"{""Conference Paper""}","{""Editorial Material""}",2023,2023,2023
39,"{""Conference Paper""}",NA,2023,2024,NA
39,{Note},"{""Editorial Material""}",2022,2022,2023
38,{Editorial},"{""Editorial Material"",""Early Access""}",2022,2022,2021
38,{Editorial},"{""Editorial Material"",""Early Access""}",2022,2023,2022
38,{Erratum},"{""Expression of Concern""}",2020,2020,2020
38,{Erratum},"{""Expression of Concern""}",2021,2021,2021
37,{Erratum},"{""Editorial Material""}",2020,2020,2020
37,{Note},{Poetry},2021,2021,2021
36,{Letter},"{""News Item""}",2019,2019,2019
36,{Note},{Poetry},2022,2022,2022
36,NA,"{""Film Review""}",NA,NA,2019
35,{Editorial},"{""Editorial Material""}",2023,2023,2022
35,NA,"{""Art Exhibit Review""}",NA,NA,2019
35,NA,"{""Record Review""}",NA,NA,2019
34,{Erratum},{Correction},2022,2022,2023
34,{Review},NA,2024,2023,NA
34,NA,{Article},NA,NA,2023
33,{Erratum},"{""Expression of Concern""}",2019,2019,2019
33,{Note},"{""Book Review""}",2020,2020,2020
33,"{""Short Survey""}",NA,2024,2024,NA
33,NA,"{""CC Meeting Heading""}",NA,NA,2021
33,NA,"{""News Item"",""Early Access""}",NA,NA,2022
32,NA,"{""Record Review""}",NA,NA,2022
32,NA,"{Review,""Early Access""}",NA,NA,2023
31,{Article},"{""News Item""}",2022,2022,2022
31,{Editorial},"{""Editorial Material""}",2018,2018,2018
31,{Letter},"{Letter,""Early Access""}",2021,2023,2021
31,NA,"{""Film Review""}",NA,NA,2021
31,NA,"{Review,""Early Access""}",NA,NA,2022
30,{Article},"{""Editorial Material""}",2021,2021,2021
30,{Note},"{""Editorial Material"",""Early Access""}",2019,2019,2019
30,"{""Short Survey""}","{""News Item""}",2021,2021,2021
30,NA,{Article},NA,NA,2021
29,{Article},{Article},2017,2017,2017
29,{Erratum},{Correction},2021,2021,2020
29,{Erratum},"{""Expression of Concern""}",2023,2023,2023
28,{Editorial},"{""News Item""}",2019,2019,2019
28,{Erratum},"{Correction,""Early Access""}",2023,2023,2020
28,{Letter},{Letter},2022,2022,2023
28,{Note},"{""Editorial Material"",""Early Access""}",2022,2022,2021
27,{Erratum},"{Correction,""Early Access""}",2021,2024,2021
27,{Erratum},"{Correction,""Early Access""}",2022,2022,2021
27,{Note},"{""Editorial Material""}",2022,2022,2020
27,NA,{Bibliography},NA,NA,2019
26,{Article},{Article},2015,2015,2015
26,{Article},"{""News Item""}",2019,2019,2019
26,{Letter},"{Letter,""Early Access""}",2021,2022,2021
26,"{""Short Survey""}","{""News Item""}",2022,2022,2022
25,{Erratum},{Correction},2021,2021,2022
25,{Letter},{Article},2022,2022,2022
25,"{""Short Survey""}",{Article},2022,2022,2022
25,NA,"{Letter,""Early Access""}",NA,NA,2023
24,{Erratum},{Correction},2019,2019,2020
24,{Erratum},"{""Item Withdrawal""}",2022,2022,2022
24,{Tombstone},{Retraction},2019,2019,2019
24,NA,{Letter},NA,NA,2023
23,{Article},NA,2007,2007,NA
23,{Erratum},{Correction},2023,2023,2022
23,{Erratum},"{Retraction,""Retracted Publication""}",2022,2022,2022
23,{Note},"{Article,""Early Access""}",2023,2023,2023
23,{Note},{Biographical-Item},2023,2023,2023
23,{Tombstone},{Retraction},2020,2020,2020
22,{Erratum},{Correction},2022,2022,2021
22,{Letter},"{""Editorial Material"",""Early Access""}",2023,2023,2022
22,{Note},"{Article,""Early Access""}",2023,2023,2022
22,{Note},"{""Editorial Material"",""Early Access""}",2021,2021,2020
22,"{""Short Survey""}",NA,2023,2024,NA
22,NA,{Bibliography},NA,NA,2020
22,NA,"{""Film Review""}",NA,NA,2022
22,NA,"{Review,""Early Access""}",NA,NA,2021
21,{Article},{Article},2011,2011,2011
21,{Article},{Article},2016,2016,2016
21,{Article},"{""Editorial Material""}",2020,2020,2020
21,{Erratum},{Correction},2020,2020,2021
21,{Letter},"{""Book Review""}",2022,2022,2022
21,{Review},"{""Editorial Material""}",2018,2018,2019
21,{Tombstone},NA,2023,2023,NA
21,NA,"{""Art Exhibit Review""}",NA,NA,2021
21,NA,"{""Film Review""}",NA,NA,2020
21,NA,"{Letter,""Early Access""}",NA,NA,2022
20,{Article},{Article},2012,2012,2012
20,{Erratum},"{Correction,""Early Access""}",2019,2019,2019
20,{Erratum},"{Correction,""Early Access""}",2021,2023,2021
20,{Erratum},NA,2021,2023,NA
20,{Letter},{Article},2021,2021,2021
20,{Note},{Poetry},2019,2019,2019
20,NA,"{""Editorial Material"",""Early Access""}",NA,NA,2019
19,{Article},NA,2009,2009,NA
19,{Editorial},"{""Editorial Material"",""Early Access""}",2023,2024,2023
19,{Erratum},{Correction},2020,2020,2019
19,NA,{Bibliography},NA,NA,2021
19,NA,"{Poetry,""Early Access""}",NA,NA,2021
18,{Article},{Article},2010,2010,2010
18,"{""Conference Paper""}",{Biographical-Item},2021,2021,2021
18,{Editorial},"{""Editorial Material"",""Early Access""}",2022,2024,2022
18,{Erratum},"{Retraction,""Early Access""}",2021,2021,2021
18,{Letter},{Letter},2021,2022,2022
18,{Letter},"{""News Item""}",2022,2022,2022
18,"{""Short Survey""}","{""Editorial Material"",""Early Access""}",2023,2023,2023
18,NA,"{Poetry,""Early Access""}",NA,NA,2022
17,{Article},{Article},2013,2013,2013
17,{Article},NA,2006,2006,NA
17,{Editorial},"{""Editorial Material"",""Early Access""}",2019,2019,2019
17,{Editorial},{Letter},2023,2023,2023
17,{Erratum},"{""Editorial Material""}",2019,2019,2019
17,{Note},"{""Editorial Material""}",2022,2022,2021
17,{Note},"{""News Item"",""Early Access""}",2022,2022,2022
17,NA,{Bibliography},NA,NA,2022
17,NA,"{""Record Review""}",NA,NA,2021
17,NA,{Retraction},NA,NA,2019
17,NA,{Retraction},NA,NA,2021
16,{Editorial},{Article},2022,2022,2022
16,{Editorial},NA,2022,2023,NA
16,{Erratum},"{Retraction,""Early Access""}",2020,2020,2020
16,{Letter},{Letter},2020,2020,2019
16,{Note},{Correction},2020,2020,2020
16,"{""Short Survey""}",{Article},2021,2021,2021
16,{Tombstone},{Review},2020,2020,2020
16,NA,"{""Art Exhibit Review""}",NA,NA,2020
16,NA,"{""Art Exhibit Review""}",NA,NA,2022
16,NA,"{""Book Review""}",NA,NA,2018
16,NA,"{Correction,""Early Access""}",NA,NA,2021
15,{Editorial},"{""News Item""}",2020,2020,2020
15,{Erratum},NA,2019,2023,NA
15,{Letter},{Biographical-Item},2021,2021,2021
15,{Letter},{Correction},2019,2019,2019
15,{Note},{Review},2021,2021,2021
15,"{""Short Survey""}","{""Editorial Material""}",2021,2021,2020
15,NA,"{""News Item"",""Early Access""}",NA,NA,2023
15,NA,{Retraction},NA,NA,2020
14,{Article},NA,2008,2008,NA
14,{Article},NA,2013,2013,NA
14,"{""Conference Paper""}","{""Editorial Material"",""Early Access""}",2023,2023,2022
14,{Editorial},"{Biographical-Item,""Early Access""}",2023,2023,2023
14,{Editorial},"{""Editorial Material"",""Early Access""}",2022,2022,2023
14,{Letter},{Biographical-Item},2019,2019,2019
14,{Letter},{Letter},2019,2020,2020
14,{Note},"{""Editorial Material"",""Early Access""}",2021,2023,2021
14,"{""Short Survey""}",{Article},2023,2023,2023
14,{Tombstone},"{Letter,""Retracted Publication""}",2019,2019,2019
14,NA,{Article},NA,NA,2019
13,{Editorial},"{""Editorial Material""}",2018,2018,2019
13,{Editorial},"{""Editorial Material""}",2020,2020,2019
13,{Editorial},NA,2024,2023,NA
13,{Note},"{""Art Exhibit Review""}",2019,2019,2019
13,{Note},{Correction},2019,2019,2019
13,NA,{Article},NA,NA,2020
12,{Article},{Article},2009,2009,2009
12,{Article},"{""Editorial Material""}",2022,2022,2022
12,{Article},"{""News Item""}",2020,2020,2020
12,{Editorial},{Article},2021,2021,2021
12,{Editorial},"{""Editorial Material""}",2022,2022,2021
12,{Erratum},"{Correction,""Early Access""}",2020,2024,2020
12,{Letter},"{""Book Review""}",2019,2019,2019
12,{Letter},{Letter},2021,2021,2023
12,{Letter},"{""News Item""}",2021,2021,2021
12,{Note},"{""Editorial Material"",""Early Access""}",2020,2020,2019
12,{Note},{Poetry},2020,2020,2020
12,"{""Short Survey""}",{Letter},2023,2023,2023
12,{Tombstone},{Letter},2019,2019,2019
12,NA,"{""CC Meeting Heading""}",NA,NA,2023
12,NA,"{Poetry,""Early Access""}",NA,NA,2023
11,{Article},{Article},2008,2008,2008
11,{Article},"{""News Item""}",2021,2021,2021
11,"{""Conference Paper""}","{""Book Review""}",2020,2020,2020
11,"{""Conference Paper""}","{""News Item""}",2019,2019,2019
11,{Editorial},{Article},2023,2023,2023
11,{Erratum},{Correction},2022,2022,2020
11,{Erratum},"{Correction,""Early Access""}",2024,2024,2023
11,{Erratum},{Letter},2019,2019,2019
11,{Erratum},{Letter},2020,2020,2020
11,{Erratum},{Letter},2021,2021,2021
11,{Letter},{Correction},2020,2020,2020
11,{Letter},"{""Editorial Material"",""Early Access""}",2022,2022,2022
11,{Letter},"{Letter,""Early Access""}",2021,2021,2020
11,{Note},"{""CC Meeting Heading""}",2019,2019,2019
11,{Tombstone},{Retraction},2021,2021,2021
11,{Tombstone},{Review},2019,2019,2019
11,NA,"{Review,""Early Access""}",NA,NA,2020
10,{Editorial},{Correction},2020,2020,2020
10,{Editorial},{Poetry},2022,2022,2022
10,{Letter},{Article},2023,2023,2023
10,{Letter},{Biographical-Item},2020,2020,2020
10,{Letter},{Letter},2020,2021,2021
10,{Letter},{Letter},2022,2022,2020
10,{Letter},"{Letter,""Early Access""}",2019,2019,2019
10,{Letter},NA,2020,2021,NA
10,{Note},"{""Book Review""}",2023,2023,2023
10,NA,"{""Music Performance Review""}",NA,NA,2020
10,NA,"{""Music Performance Review""}",NA,NA,2022
10,NA,{Retraction},NA,NA,2022
10,NA,"{""TV Review, Radio Review""}",NA,NA,2021
9,{Article},NA,2005,2005,NA
9,{Article},NA,2016,2016,NA
9,{Chapter},"{""Book Review""}",2022,2022,2020
9,"{""Conference Paper""}","{""Book Review""}",2022,2022,2022
9,"{""Conference Paper""}","{""CC Meeting Heading""}",2019,2019,2019
9,"{""Conference Paper""}","{""News Item""}",2022,2022,2022
9,{Editorial},"{""Editorial Material""}",2020,2020,2022
9,{Editorial},"{""News Item""}",2022,2022,2022
9,{Erratum},"{Correction,""Early Access""}",2024,2024,2022
9,{Erratum},"{Retraction,""Retracted Publication""}",2023,2023,2023
9,{Letter},{Biographical-Item},2022,2022,2022
9,{Letter},"{""Book Review""}",2020,2020,2020
9,{Letter},"{""Book Review""}",2021,2021,2021
9,{Note},"{""Art Exhibit Review""}",2022,2022,2022
9,{Note},{Correction},2021,2021,2021
9,{Note},"{""Editorial Material"",""Early Access""}",2022,2022,2023
9,"{""Short Survey""}","{""Editorial Material"",""Early Access""}",2022,2022,2022
9,{Tombstone},{Letter},2020,2020,2020
9,{Tombstone},{Retraction},2022,2022,2022
9,{Tombstone},{Review},2021,2021,2021
9,{Tombstone},NA,2020,2020,NA
9,NA,"{Biographical-Item,""Early Access""}",NA,NA,2021
9,NA,"{""CC Meeting Heading"",""Early Access""}",NA,NA,2022
9,NA,"{Correction,""Early Access""}",NA,NA,2020
8,{Article},NA,2011,2011,NA
8,{Article},NA,2012,2012,NA
8,{Editorial},"{""Editorial Material"",""Early Access""}",2021,2021,2020
8,{Editorial},"{""Editorial Material"",""Early Access""}",2021,2024,2021
8,{Editorial},"{Letter,""Early Access""}",2023,2023,2023
8,{Editorial},{Reprint},2020,2020,2020
8,{Erratum},"{""Expression of Concern""}",2021,2021,2020
8,{Erratum},"{""Expression of Concern"",""Early Access""}",2023,2023,2023
8,{Erratum},"{Retraction,""Early Access""}",2023,2023,2021
8,{Letter},{Article},2020,2020,2020
8,{Letter},"{Article,""Early Access""}",2023,2023,2023
8,{Letter},{Correction},2021,2021,2021
8,{Letter},"{""Editorial Material""}",2021,2021,2020
8,{Letter},"{Letter,""Early Access""}",2022,2022,2023
8,{Note},"{""Editorial Material""}",2020,2020,2019
8,{Note},"{""Editorial Material"",""Book Chapter""}",2019,2019,2019
8,{Note},NA,2022,2024,NA
8,{Tombstone},{Review},2022,2022,2022
8,{Tombstone},NA,2019,2019,NA
8,{Tombstone},NA,2022,2022,NA
8,NA,{Article},NA,NA,2018
8,NA,"{""Music Performance Review""}",NA,NA,2019
8,NA,{Review},NA,NA,2022
8,NA,"{""Theater Review""}",NA,NA,2019
7,{Article},{Article},2014,2014,2014
7,{Article},NA,2010,2010,NA
7,"{""Conference Paper""}",{Biographical-Item},2020,2020,2020
7,"{""Conference Paper""}","{""Editorial Material"",""Early Access""}",2023,2023,2023
7,"{""Conference Paper""}",{Letter},2020,2020,2020
7,"{""Conference Paper""}","{""News Item""}",2020,2020,2020
7,{Editorial},{Correction},2021,2021,2021
7,{Editorial},"{""Editorial Material"",""Book Chapter""}",2021,2021,2021
7,{Editorial},"{""Editorial Material"",""Early Access""}",2020,2020,2019
7,{Editorial},"{""Editorial Material"",""Early Access""}",2021,2023,2021
7,{Editorial},NA,2022,2024,NA
7,{Letter},{Correction},2022,2022,2022
7,{Letter},{Letter},2023,2023,2020
7,{Letter},"{""News Item""}",2020,2020,2020
7,{Note},"{Biographical-Item,""Early Access""}",2023,2023,2023
7,{Note},{Correction},2022,2022,2022
7,{Note},"{""Editorial Material"",""Early Access""}",2023,2023,2020
7,{Note},"{""Fiction, Creative Prose""}",2019,2019,2019
7,{Note},{Letter},2020,2020,2022
7,{Note},"{""News Item"",""Early Access""}",2021,2021,2021
7,{Note},"{""Record Review""}",2021,2021,2021
7,{Note},NA,2022,2023,NA
7,{Review},NA,2019,2019,NA
7,"{""Short Survey""}",{Article},2020,2020,2020
7,"{""Short Survey""}",{Biographical-Item},2020,2020,2020
7,{Tombstone},{Letter},2021,2021,2021
7,NA,"{Biographical-Item,""Early Access""}",NA,NA,2020
7,NA,"{""TV Review, Radio Review""}",NA,NA,2020
6,{Article},NA,2024,2022,NA
6,"{""Conference Paper""}","{""Book Review""}",2019,2019,2019
6,"{""Conference Paper""}",{Letter},2019,2019,2019
6,"{""Conference Paper""}","{""News Item""}",2021,2021,2021
6,{Editorial},{Article},2020,2020,2020
6,{Editorial},{Correction},2019,2019,2019
6,{Editorial},{Correction},2022,2022,2022
6,{Editorial},"{""Editorial Material""}",2019,2020,2020
6,{Editorial},"{Letter,""Early Access""}",2022,2022,2022
6,{Letter},{Letter},2022,2022,2021
6,{Letter},"{Letter,""Early Access""}",2020,2020,2019
6,{Letter},"{""News Item""}",2023,2023,2023
6,{Note},{Article},2019,2019,2019
6,{Note},"{""Expression of Concern""}",2021,2021,2021
6,{Note},"{""Film Review""}",2019,2019,2019
6,{Note},"{""Music Performance Review""}",2020,2020,2020
6,{Note},"{""News Item"",""Early Access""}",2023,2023,2022
