ror,vendor_org_id,n,row_number
https://ror.org/0038zp908,Polish Academy of Sciences,3,1
https://ror.org/003ckn545,Universite Paris-Pantheon-Assas,10,1
https://ror.org/003d3xx08,Universidad de Almeria,1175,1
https://ror.org/003f4pg83,University of Vienna,4,1
https://ror.org/003fs1j49,Universite de Lille,7,1
https://ror.org/003fvp964,Polish Academy of Sciences,32,1
https://ror.org/003g0xf19,Rutgers New Brunswick,9,1
https://ror.org/003g1aw90,Nantes Universite,32,1
https://ror.org/003g5mn55,Institute of Aviation - Warsaw,15,1
https://ror.org/003gkfx86,Aalborg University,8,1
https://ror.org/003hsr719,Sefako Makgatho Health Sciences University,118,1
https://ror.org/003j5cv40,Haskins Laboratories,1,1
https://ror.org/003jnac13,Universite de Toulouse,302,1
https://ror.org/003kk8e92,University of Duisburg Essen,6,1
https://ror.org/003kqe171,Old Dominion University,17,1
https://ror.org/003n8re58,Chinese Academy of Sciences,15,1
https://ror.org/003qhrc72,Universite Clermont Auvergne (UCA),60,1
https://ror.org/003qr7703,University of Helsinki,5,1
https://ror.org/003r76697,University of Twente,1,1
https://ror.org/003rfsp33,University System of Ohio,104,1
https://ror.org/003s3dn82,Weizmann Institute of Science,1,1
https://ror.org/003s89n44,University of Alberta,2,1
https://ror.org/003sdh081,Tadeusz Manteuffel Institute of History of the Polish Academy of Sciences,4,1
https://ror.org/003sgap07,McGill University,4,1
https://ror.org/003sphj24,Ben Gurion University,133,1
https://ror.org/003sscq03,Universite de Montpellier,120,1
https://ror.org/003vg9w96,INRAE,972,1
https://ror.org/003w29077,McMaster University,6,1
https://ror.org/003xvvt95,University of Mannheim,1,1
https://ror.org/003y0kg83,Centre National de la Recherche Scientifique (CNRS),21,1
https://ror.org/0040r6f76,Victoria University Wellington,2398,1
https://ror.org/0040zx077,Consiglio Nazionale delle Ricerche (CNR),129,1
https://ror.org/00412ts95,University of Southern California,1,1
https://ror.org/00414dg76,Rady Childrens Hospital San Diego,354,1
https://ror.org/0042e5975,Consiglio Nazionale delle Ricerche (CNR),239,1
https://ror.org/0043h8f16,University of South Dakota,9,1
https://ror.org/0044w3h23,Ruprecht Karls University Heidelberg,16,1
https://ror.org/00453a208,City University of New York (CUNY) System,72,1
https://ror.org/0046gcs23,Max Planck Society,61,1
https://ror.org/0046mja08,An Najah National University,5,1
https://ror.org/0047rmf80,Centre National de la Recherche Scientifique (CNRS),16,1
https://ror.org/00490vc18,Royal Netherlands Academy of Arts & Sciences,2,1
https://ror.org/004af2v94,Braude Academic College of Engineering,61,1
https://ror.org/004ah3r71,Sinop University,108,1
https://ror.org/004axh929,Royal Melbourne Institute of Technology (RMIT),97,1
https://ror.org/004dg2369,Maltepe University,48,1
https://ror.org/004fmxv66,Universite de Franche-Comte,365,1
https://ror.org/004fze387,International School for Advanced Studies (SISSA),485,1
https://ror.org/004gfgx38,Eszterhazy Karoly Catholic University,32,1
https://ror.org/004gzqz66,Universite Paris Cite,427,1
https://ror.org/004h6mc53,Berlin Institute of Health,1,1
https://ror.org/004hd5y14,Leibniz Institut fur Plasmaforschung und Technologie,102,1
https://ror.org/004hydx84,University of London,30,1
https://ror.org/004n2nr09,Fraunhofer Gesellschaft,12,1
https://ror.org/004nnf780,Universite Paris Cite,115,1
https://ror.org/004nttc42,Fraunhofer Gesellschaft,2,1
https://ror.org/004q3d116,Institute of Biopolymers & Chemical Fibres (IBWCh),1,1
https://ror.org/004q3z910,INRAE,13,1
https://ror.org/004r9h172,University College Copenhagen,93,1
https://ror.org/004raaa70,Universite de Toulouse,1509,1
https://ror.org/004s18446,Polytechnic Institute of Castelo Branco,36,1
https://ror.org/004swtw80,Consejo Superior de Investigaciones Cientificas (CSIC),334,1
https://ror.org/004wre089,Norwegian University of Science & Technology (NTNU),3,1
https://ror.org/004x7d471,Northwestern University,5,1
https://ror.org/004yvsb77,Universite Paris Saclay,8,1
https://ror.org/0050vmv35,DIW Berlin - Deutsches Institut fur Wirtschaftsforschung,314,1
https://ror.org/00514rc81,University of Sheffield,312,1
https://ror.org/00523a319,University of Finance & Management Warsaw,4,1
https://ror.org/0052k0e03,Mykolas Romeris University,17,1
https://ror.org/0053n5071,West Chester University of Pennsylvania,4,1
https://ror.org/0059vr703,University of Tokyo,5,1
https://ror.org/005bk2339,Max Planck Society,723,1
https://ror.org/005cqsz63,Hungarian Academy of Sciences,26,1
https://ror.org/005f5hv41,California State University System,43,1
https://ror.org/005fjj927,Universite de Rennes,143,1
https://ror.org/005j0cx32,Ruprecht Karls University Heidelberg,37,1
https://ror.org/005k7hp45,Medical University Silesia,595,1
https://ror.org/005pfhc08,Eberhard Karls University of Tubingen,102,1
https://ror.org/005r9p256,University of Nottingham,233,1
https://ror.org/005rpmt10,Korea Institute of Oriental Medicine (KIOM),158,1
https://ror.org/005t9n460,Saxion University of Applied Sciences,28,1
https://ror.org/005ta0471,Istituto Nazionale di Fisica Nucleare (INFN),357,1
https://ror.org/005y2ap84,National Office for Aerospace Studies & Research (ONERA),176,1
https://ror.org/005ypkf75,Institut National de la Sante et de la Recherche Medicale (Inserm),1,1
https://ror.org/00602gv86,National Centre for Nuclear Research,1,1
https://ror.org/0060xzr04,Centre National de la Recherche Scientifique (CNRS),72,1
https://ror.org/00613ak93,University of Wuppertal,922,1
https://ror.org/0061rmm93,Universite Lyon 2,25,1
https://ror.org/0062tv278,University of Chicago,3,1
https://ror.org/0064zg438,Dalhousie University,161,1
https://ror.org/00671me87,Max Planck Society,375,1
https://ror.org/0067dvq63,University of Sydney,7,1
https://ror.org/0067fqk38,St Mary's University Twickenham London,141,1
https://ror.org/00681ts17,German Institute of Global & Area Studies,155,1
https://ror.org/0068m0j38,University of Cambridge,63,1
https://ror.org/0068xq694,University of Agder,2,1
https://ror.org/0069bkg23,Lithuanian University of Health Sciences,42,1
https://ror.org/006a4jj40,Australian National University,7,1
https://ror.org/006a7pj43,Laval University,159,1
https://ror.org/006c8a128,University of Duisburg Essen,83,1
https://ror.org/006cymg18,University of Maryland Eastern Shore,17,1
https://ror.org/006evg656,CHU Lyon,170,1
https://ror.org/006fhby04,INRAE,77,1
https://ror.org/006g31f33,Bosch,1,1
https://ror.org/006gksa02,University of Oviedo,2321,1
https://ror.org/006gmme17,United States Department of Defense,26,1
https://ror.org/006gw6z14,Consejo Superior de Investigaciones Cientificas (CSIC),456,1
https://ror.org/006hf6230,University of Twente,3871,1
https://ror.org/006jb1a24,Bangor University,1276,1
https://ror.org/006jktr69,Hospital Santa Maria della Misericordia,38,1
https://ror.org/006jxzx88,Bond University,574,1
https://ror.org/006k2kk72,Heinrich Heine University Dusseldorf,762,1
https://ror.org/006m74d95,Northwestern University in Qatar,3,1
https://ror.org/006qkqr45,Consiglio Nazionale delle Ricerche (CNR),93,1
https://ror.org/006shqv80,Centre National de la Recherche Scientifique (CNRS),26,1
https://ror.org/006thab72,University of Hamburg,113,1
https://ror.org/006vxbq87,Hungarian Academy of Sciences,181,1
https://ror.org/006vyay97,University of Western Australia,104,1
https://ror.org/006x4sc24,Fahrenheit Universities,1771,1
https://ror.org/006yspz11,CHU Lyon,201,1
https://ror.org/006z7v557,Universite Polytechnique Hauts-de-France,122,1
https://ror.org/006zjws59,Universitat de Vic - Universitat Central de Catalunya (UVic-UCC),154,1
https://ror.org/00708jp83,International Hellenic University,59,1
https://ror.org/00717c553,University of Munster,2,1
https://ror.org/00721wn77,Universite Paul-Valery,3,1
https://ror.org/0072dxg89,Transylvania University of Brasov,2,1
https://ror.org/0072zz521,University of Massachusetts System,46,1
https://ror.org/0075hvk77,Universite de Technologie de Compiegne,69,1
https://ror.org/0076kfe04,University of Chicago,75,1
https://ror.org/0076zct58,Martin Luther University Halle Wittenberg,5,1
https://ror.org/0078bd381,University College Of London In Qatar,21,1
https://ror.org/0079jjr10,Max Planck Society,283,1
https://ror.org/007bjx395,Consiglio per la Ricerca in Agricoltura e L'analisi Dell'economia Agraria (CREA),39,1
https://ror.org/007bw6q41,Free University of Berlin,4,1
https://ror.org/007dy3y92,Ecole Normale Superieure de Lyon (ENS de LYON),2,1
https://ror.org/007gfwn20,University of Applied Sciences & Arts Western Switzerland,13,1
https://ror.org/007hrfm61,Nantes Universite,51,1
https://ror.org/007n45g27,University of Otago,26,1
https://ror.org/007p4nf03,Centre National de la Recherche Scientifique (CNRS),7,1
https://ror.org/007pvy114,University College Cork,9,1
https://ror.org/007sc9r91,Universites de Strasbourg Etablissements Associes,9,1
https://ror.org/007xqmx73,Centre National de la Recherche Scientifique (CNRS),16,1
https://ror.org/007y22n43,Martin Luther University Halle Wittenberg,3,1
https://ror.org/007y6q934,Universite TELUQ,42,1
https://ror.org/007ygn379,University of Geneva,9,1
https://ror.org/0080acb59,University of Oxford,1220,1
https://ror.org/0080fxk18,California State University System,35,1
https://ror.org/0080y7t67,Max Planck Society,107,1
https://ror.org/00839we02,Acadia University,184,1
https://ror.org/0083ncs46,Fraunhofer Gesellschaft,95,1
https://ror.org/0084bse20,Sunderby Hospital,17,1
https://ror.org/0084te143,Universite de Franche-Comte,357,1
https://ror.org/0084x3h80,Universite Claude Bernard Lyon 1,42,1
https://ror.org/0086b8v72,Sichuan Provincial People's Hospital,1,1
https://ror.org/0086bb350,Technical University of Berlin,21,1
https://ror.org/0086skx40,Baskent University,1,1
https://ror.org/00874hx02,NERC National Oceanography Centre,7,1
https://ror.org/0087djs12,Max Planck Society,302,1
https://ror.org/0087v5134,Flinders University South Australia,112,1
https://ror.org/00892tw58,University of Adelaide,7909,1
https://ror.org/0089bg420,STFC Daresbury Laboratory,108,1
https://ror.org/008c2qm47,University of Potsdam,2,1
https://ror.org/008fjbg42,Consiglio Nazionale delle Ricerche (CNR),145,1
https://ror.org/008fyn775,Wroclaw University of Science & Technology,2036,1
https://ror.org/008h1f725,Universite de Orleans,22,1
https://ror.org/008j59125,Aintree University Hospitals NHS Foundation Trust,137,1
https://ror.org/008kn1a71,Sunnybrook Health Science Center,117,1
https://ror.org/008mx9f83,Hungarian Academy of Sciences,25,1
https://ror.org/008n7pv89,University of Plymouth,1748,1
https://ror.org/008n8dd57,Leibniz Institut fur die Padagogik der Naturwissenschaften und Mathematik an der Universitat Kiel (IPN),222,1
https://ror.org/008pnp284,Leiden University,4,1
https://ror.org/008pp7a77,Institute for Contemporary History (IFZ),2,1
https://ror.org/008q4kt04,Royal Victorian Eye & Ear Hospital,162,1
https://ror.org/008qpg558,University of Rostock,5,1
https://ror.org/008rmbt77,State University of New York (SUNY) Binghamton,11,1
https://ror.org/008rwh029,Nantes Universite,4,1
https://ror.org/008rywf59,Universite de Montpellier,328,1
https://ror.org/008te2062,University of Toronto,14,1
https://ror.org/008wzdf98,Satakunta University of Applied Sciences,5,1
https://ror.org/008x57b05,University of Antwerp,104,1
https://ror.org/008xxew50,Vrije Universiteit Amsterdam,6607,1
https://ror.org/008zj0x80,Hackensack University Medical Center,51,1
https://ror.org/008zs3103,Rice University,93,1
https://ror.org/008zz8m46,Nagoya University,16,1
https://ror.org/0090r4d87,Chinese Academy of Sciences,42,1
https://ror.org/0090zs177,University of London,3834,1
https://ror.org/0092mfq48,University of Stuttgart,1,1
https://ror.org/0093a8w51,Blekinge Institute Technology,254,1
https://ror.org/0093src13,Naturalis Biodiversity Center,1,1
https://ror.org/0094tm228,University of Manchester,95,1
https://ror.org/009543z50,Northwestern Memorial Hospital,48,1
https://ror.org/0095xwr23,Max Planck Society,191,1
https://ror.org/0097mvx21,University of Valencia,5,1
https://ror.org/0098gnz32,Norwegian Defence Research Establishment,50,1
https://ror.org/0098syn68,Leibniz Institut fur Katalyse e.V. an der Universitat Rostock (LIKAT),29,1
https://ror.org/00996c044,Johannes Gutenberg University of Mainz,1,1
https://ror.org/009axq942,Mus Alparslan University,168,1
https://ror.org/009bsy196,Royal Infirmary of Edinburgh,584,1
https://ror.org/009e9eq52,Universiti Teknologi Malaysia,15,1
https://ror.org/009e9xr64,Charles University Prague,6,1
https://ror.org/009frb846,Universite Lyon 2,4,1
https://ror.org/009gmrj52,emlyon business school,75,1
https://ror.org/009hj8759,Emory University,27,1
https://ror.org/009j14p05,Jagiellonian University,1,1
https://ror.org/009kb8w74,Assistance Publique Hopitaux Paris (APHP),36,1
https://ror.org/009kr6r15,University of Edinburgh,286,1
https://ror.org/009nhnc47,Technical University of Munich,19,1
https://ror.org/009p5nb11,Universite Paris Cite,8,1
https://ror.org/009s53a61,IMDEA Materials Institute,278,1
https://ror.org/009s7a550,Pamela Youde Nethersole Eastern Hospital,7,1
https://ror.org/009st3569,Tel Hai Academy College,194,1
https://ror.org/009syct46,Austrian Academy of Sciences,4,1
https://ror.org/009tnsj43,Newman University Birmingham,52,1
https://ror.org/009tscw31,Austrian Academy of Sciences,1,1
https://ror.org/009vheq40,University of Oxford,313,1
https://ror.org/009wnjh50,Istituto Nazionale di Fisica Nucleare (INFN),12,1
https://ror.org/009wryk55,Czech Academy of Sciences,9,1
https://ror.org/009wseg80,Consejo Superior de Investigaciones Cientificas (CSIC),101,1
https://ror.org/009xwd568,University of the Free State,1560,1
https://ror.org/009z39p97,McMaster University,242,1
https://ror.org/00a0bqh48,University of Hamburg,10,1
https://ror.org/00a0jsq62,University of London,2510,1
https://ror.org/00a0n9e72,University of Limerick,2605,1
https://ror.org/00a208s56,Technische Universitat Chemnitz,940,1
https://ror.org/00a5pe906,University of Western Macedonia,74,1
https://ror.org/00a6rw165,Fraunhofer Gesellschaft,27,1
https://ror.org/00a6yph09,University Hospital Ostrava,83,1
https://ror.org/00a72jq18,Centre National de la Recherche Scientifique (CNRS),14,1
https://ror.org/00a7n7g54,Deutsches Museum,14,1
https://ror.org/00a7vgh58,Max Planck Society,597,1
https://ror.org/00a858n67,University of Bath,25,1
https://ror.org/00a8p0m24,Universite PSL,4,1
https://ror.org/00abqs885,Harvard University,1,1
https://ror.org/00adwkx90,Centre National de la Recherche Scientifique (CNRS),563,1
https://ror.org/00ae13b94,Universidade de Santiago de Compostela,1,1
https://ror.org/00ae33288,London Metropolitan University,110,1
https://ror.org/00ag5y002,Consiglio Nazionale delle Ricerche (CNR),33,1
https://ror.org/00ah32k04,Universite Cote d'Azur,5,1
https://ror.org/00ajjta07,Universite Paris Saclay,46,1
https://ror.org/00ajvsd91,Uppsala University,6,1
https://ror.org/00angvn73,Czech Academy of Sciences,95,1
https://ror.org/00aps1a34,University of Oxford,19,1
https://ror.org/00aqt9352,Turkish Academy of Sciences,1,1
https://ror.org/00arwy491,McGill University,51,1
https://ror.org/00awd9g61,City University of New York (CUNY) System,59,1
https://ror.org/00awn3k11,heSam Universite,13,1
https://ror.org/00ax71d21,Obuda University,111,1
https://ror.org/00aycez97,Universite de Montpellier,76,1
https://ror.org/00ayhx656,University of Sussex,3701,1
https://ror.org/00aytnh12,Ifremer,19,1
https://ror.org/00az5dt38,Carnegie Mellon University in Qatar,14,1
https://ror.org/00b0m1444,Tel Aviv University,11,1
https://ror.org/00b1c9541,University Hohenheim,1771,1
https://ror.org/00b30xv10,University of Pennsylvania,1578,1
https://ror.org/00b4mx203,Chinese Academy of Sciences,32,1
https://ror.org/00b4q1853,Centre National de la Recherche Scientifique (CNRS),18,1
https://ror.org/00b6j6x40,University of Basel,2,1
https://ror.org/00b7djk73,Institut Polytechnique de Paris,8,1
https://ror.org/00b80ez59,CIRAD,53,1
https://ror.org/00b8mh310,Universite de Montpellier,21,1
https://ror.org/00bas1c41,AGH University of Krakow,2503,1
https://ror.org/00baskk38,Swiss Federal Institutes of Technology Domain,395,1
https://ror.org/00bb55562,Kobe University,44,1
https://ror.org/00bbdze26,Royal College of Surgeons - Ireland,1,1
https://ror.org/00bbtde36,Universite Paris Cite,28,1
https://ror.org/00bc51d88,Consiglio Nazionale delle Ricerche (CNR),245,1
https://ror.org/00be3zh53,Consiglio Nazionale delle Ricerche (CNR),100,1
https://ror.org/00bf6bf92,Universite de Rennes,44,1
https://ror.org/00bgk9508,Polytechnic University of Turin,4150,1
https://ror.org/00bhwwh42,University of London,1,1
https://ror.org/00bj0r217,Ruhr University Bochum,1,1
https://ror.org/00bjck208,University of Glasgow,291,1
https://ror.org/00bkxry42,Institut fur Mikrotechnik Mainz GmbH (IMM),20,1
https://ror.org/00bmj0a71,University of Greenwich,890,1
https://ror.org/00bnagp43,Consejo Superior de Investigaciones Cientificas (CSIC),49,1
https://ror.org/00bnthp71,Institut de Recherche pour le Developpement (IRD),4,1
https://ror.org/00bpta863,Humboldt University of Berlin,5,1
https://ror.org/00bq8vv83,Universite de Toulouse,25,1
https://ror.org/00bqvf857,Cardiff Metropolitan University,331,1
https://ror.org/00br9cf93,University of Minnesota System,1,1
https://ror.org/00brf2d87,Consiglio Nazionale delle Ricerche (CNR),1,1
https://ror.org/00btgsb62,Galatasaray University,37,1
https://ror.org/00bv4cx53,Free University of Berlin,42,1
https://ror.org/00bw5n526,Universite Paris Cite,853,1
https://ror.org/00bwtjf83,Tampere University,39,1
https://ror.org/00bx52076,Commonwealth Scientific & Industrial Research Organisation (CSIRO),2,1
https://ror.org/00bx71042,Trinity College Dublin,65,1
https://ror.org/00bxsm637,MTU Aero Engines,1,1
https://ror.org/00byxdz40,CEA,6,1
https://ror.org/00bzgd159,Consejo Superior de Investigaciones Cientificas (CSIC),188,1
https://ror.org/00c01js51,Ohio State University,95,1
https://ror.org/00c0xnf10,Ahmed Bin Mohammed Military College,3,1
https://ror.org/00c3bg218,China Europe International Business School,2,1
https://ror.org/00c3ktd57,Universite Cote d'Azur,4,1
https://ror.org/00c3ta789,Museum National d'Histoire Naturelle (MNHN),69,1
https://ror.org/00c879s84,University of Cape Town,221,1
https://ror.org/00c8nx045,Commonwealth Scientific & Industrial Research Organisation (CSIRO),69,1
https://ror.org/00c9gth79,Istituto Nazionale Astrofisica (INAF),21,1
https://ror.org/00carf720,Royal Adelaide Hospital,949,1
https://ror.org/00cb23x68,Kwame Nkrumah University Science & Technology,10,1
https://ror.org/00cb3km46,Seoul National University (SNU),357,1
https://ror.org/00ccpdp17,INRAE,33,1
https://ror.org/00cd95c65,University of Gottingen,10,1
https://ror.org/00cd9s024,Fujian Medical University,7,1
https://ror.org/00cdwy346,Newcastle Freeman Hospital,339,1
https://ror.org/00cfam450,Helmholtz Association,1187,1
https://ror.org/00cgnj660,University of Toronto,102,1
https://ror.org/00cm8fy76,Polish Academy of Sciences,6,1
https://ror.org/00cm8nm15,University of California Irvine,199,1
https://ror.org/00cqpd580,Nantes Universite,143,1
https://ror.org/00csq2k70,Fraunhofer Gesellschaft,36,1
https://ror.org/00csw7971,Institut National de la Sante et de la Recherche Medicale (Inserm),1,1
https://ror.org/00cwqg982,UK Research & Innovation (UKRI),35,1
https://ror.org/00cxy0s05,CHU de Rouen,54,1
https://ror.org/00cybsr61,University of Western Australia,18,1
https://ror.org/00cyydd11,University of Eastern Finland,3037,1
https://ror.org/00czdkn85,Anadolu University,60,1
https://ror.org/00d0rke27,Centre National de la Recherche Scientifique (CNRS),19,1
https://ror.org/00d0v0049,Max Planck Society,44,1
https://ror.org/00d264c35,University of Copenhagen,534,1
https://ror.org/00d2v4e22,University of London,17,1
https://ror.org/00d67eh84,Central Laboratory for Radiological Protection,6,1
https://ror.org/00d6k8y35,Staffordshire University,202,1
https://ror.org/00d7xrm67,Graz University of Technology,2166,1
https://ror.org/00d973h41,Sodertorn University,423,1
https://ror.org/00d9ah105,University of California System,916,1
https://ror.org/00dbd8b73,Dokuz Eylul University,821,1
https://ror.org/00dde9829,University of Vaasa,1,1
https://ror.org/00dfbms98,University of Hamburg,1,1
https://ror.org/00dfd1509,Museum National d'Histoire Naturelle (MNHN),1,1
https://ror.org/00dfpj523,Poznan University of Medical Sciences,36,1
https://ror.org/00dfw9p58,Sante publique France,46,1
https://ror.org/00dgyys91,Qatar Mobility Innovations Center (QMIC),1,1
https://ror.org/00djv2c17,Indian Institute of Science Education & Research (IISER) - Kolkata,6,1
https://ror.org/00dmms154,Universite Paris Cite,314,1
https://ror.org/00dn4t376,Brunel University,1878,1
https://ror.org/00dpnza76,Finnish Food Authority,17,1
https://ror.org/00dpzx715,Suleyman Demirel University,3,1
https://ror.org/00dqega85,Consiglio Nazionale delle Ricerche (CNR),106,1
https://ror.org/00dqfzf20,University of Helsinki,36,1
https://ror.org/00dr28g20,University of Crete,617,1
https://ror.org/00drcz023,Consejo Superior de Investigaciones Cientificas (CSIC),223,1
https://ror.org/00dw5zk55,Austrian Academy of Sciences,2,1
https://ror.org/00dxj9a45,Universidad Santiago de Cali,21,1
https://ror.org/00dxw4v18,CHU Grenoble Alpes,9,1
https://ror.org/00dxzfw25,Polish Academy of Sciences,12,1
https://ror.org/00dyt5s15,Universite de Lille,85,1
https://ror.org/00dz1eb96,Yasar University,72,1
https://ror.org/00dzfx204,Bilecik Seyh Edebali University,177,1
https://ror.org/00e0c0q64,Indiana University-Purdue University Indianapolis,1,1
https://ror.org/00e4bwe12,Max Planck Society,306,1
https://ror.org/00e4pqm50,Centre National de la Recherche Scientifique (CNRS),38,1
https://ror.org/00e96v939,Universite Paris Saclay,42,1
https://ror.org/00eae9z71,University of Newcastle,2749,1
https://ror.org/00eaycp31,University of Central Lancashire,1,1
https://ror.org/00edrn755,University of Copenhagen,382,1
https://ror.org/00edvg943,Bielefeld University of Applied Sciences,69,1
https://ror.org/00ee9xb13,Nofima,1,1
https://ror.org/00eekd641,Rutgers New Brunswick,15,1
https://ror.org/00eg81h43,Institute of Physiology & Hearing Pathology,51,1
https://ror.org/00ejm2g54,California State University System,1,1
https://ror.org/00en6p903,University of Miami,6,1
https://ror.org/00enct420,Centre National de la Recherche Scientifique (CNRS),5,1
