issn_l,cr_year,jn_all
0002-9300,2019,88
0002-9300,2020,98
0002-9300,2021,81
0002-9300,2022,85
0002-9300,2023,76
0002-9319,2019,29
0002-9319,2020,31
0002-9319,2021,29
0002-9319,2022,24
0002-9319,2023,28
0002-9343,2019,492
0002-9343,2020,572
0002-9343,2021,587
0002-9343,2022,462
0002-9343,2023,398
0002-936X,2019,450
0002-936X,2020,442
0002-936X,2021,395
0002-936X,2022,373
0002-936X,2023,363
0002-9378,2019,589
0002-9378,2020,652
0002-9378,2021,585
0002-9378,2022,722
0002-9378,2023,557
0002-9394,2019,405
0002-9394,2020,431
0002-9394,2021,448
0002-9394,2022,423
0002-9394,2023,334
0002-9432,2019,83
0002-9432,2020,79
0002-9432,2021,84
0002-9432,2022,80
0002-9432,2023,69
0002-9440,2019,231
0002-9440,2020,226
0002-9440,2021,203
0002-9440,2022,164
0002-9440,2023,194
0002-9459,2019,254
0002-9459,2020,213
0002-9459,2021,137
0002-9459,2022,146
0002-9459,2023,678
0002-9483,2019,205
0002-9483,2020,206
0002-9483,2021,154
0002-9505,2019,178
0002-9505,2020,177
0002-9505,2021,180
0002-9505,2022,157
0002-9505,2023,154
0002-9548,2019,53
0002-9548,2020,44
0002-9548,2021,51
0002-9548,2022,52
0002-9548,2023,47
0002-9610,2019,465
0002-9610,2020,569
0002-9610,2021,487
0002-9610,2022,587
0002-9610,2023,461
0002-9629,2019,192
0002-9629,2020,232
0002-9629,2021,280
0002-9629,2022,271
0002-9629,2023,264
0002-9890,2019,161
0002-9890,2020,129
0002-9890,2021,153
0002-9890,2022,144
0002-9890,2023,133
0003-0007,2019,343
0003-0007,2020,343
0003-0007,2021,330
0003-0007,2022,221
0003-0007,2023,160
0003-004X,2019,194
0003-004X,2020,207
0003-004X,2021,197
0003-004X,2022,229
0003-004X,2023,209
0003-021X,2019,130
0003-021X,2020,119
0003-021X,2021,100
0003-021X,2022,89
0003-021X,2023,122
0003-0554,2019,85
0003-0554,2020,113
0003-0554,2021,154
0003-0554,2022,136
0003-0554,2023,152
0003-0651,2019,101
0003-0651,2020,107
0003-0651,2021,108
0003-0651,2022,104
0003-0651,2023,105
0003-066X,2019,192
0003-066X,2020,211
0003-066X,2021,226
0003-066X,2022,203
0003-066X,2023,203
0003-1224,2019,42
0003-1224,2020,49
0003-1224,2021,42
0003-1224,2022,39
0003-1224,2023,41
0003-1232,2019,28
0003-1232,2020,46
0003-1232,2021,49
0003-1232,2022,35
0003-1232,2023,49
0003-1305,2019,112
0003-1305,2020,49
0003-1305,2021,43
0003-1305,2022,72
0003-1305,2023,60
0003-1313,2019,56
0003-1313,2020,45
0003-1313,2021,47
0003-1313,2022,33
0003-1313,2023,44
0003-1348,2019,485
0003-1348,2020,872
0003-1348,2021,611
0003-1348,2022,651
0003-1348,2023,652
0003-150X,2019,200
0003-150X,2020,206
0003-150X,2021,183
0003-150X,2022,180
0003-150X,2023,169
0003-1615,2019,147
0003-1615,2020,132
0003-1615,2021,165
0003-1615,2022,99
0003-1615,2023,121
0003-2409,2019,345
0003-2409,2020,349
0003-2409,2021,238
0003-2409,2022,267
0003-2409,2023,247
0003-2417,2019,137
0003-2417,2020,169
0003-2417,2021,148
0003-2417,2022,21
0003-2638,2019,90
0003-2638,2020,66
0003-2638,2021,103
0003-2638,2022,96
0003-2638,2023,84
0003-2654,2019,830
0003-2654,2020,896
0003-2654,2021,816
0003-2654,2022,634
0003-2654,2023,657
0003-2670,2019,907
0003-2670,2020,946
0003-2670,2021,916
0003-2670,2022,1051
0003-2670,2023,1083
0003-2697,2019,275
0003-2697,2020,327
0003-2697,2021,242
0003-2697,2022,311
0003-2697,2023,229
0003-2700,2019,2177
0003-2700,2020,2023
0003-2700,2021,2096
0003-2700,2022,2249
0003-2700,2023,2302
0003-2719,2019,210
0003-2719,2020,258
0003-2719,2021,171
0003-2719,2022,257
0003-2719,2023,232
0003-2999,2019,743
0003-2999,2020,917
0003-2999,2021,512
0003-2999,2022,460
0003-2999,2023,448
0003-3022,2019,565
0003-3022,2020,654
0003-3022,2021,437
0003-3022,2022,333
0003-3022,2023,397
0003-3197,2019,137
0003-3197,2020,148
0003-3197,2021,165
0003-3197,2022,190
0003-3197,2023,187
0003-3286,2019,152
0003-3286,2020,138
0003-3286,2021,128
0003-3286,2022,124
0003-3286,2023,103
0003-3472,2019,286
0003-3472,2020,266
0003-3472,2021,286
0003-3472,2022,242
0003-3472,2023,210
0003-3790,2019,32
0003-3790,2020,38
0003-3790,2021,28
0003-3790,2022,24
0003-3790,2023,47
0003-3804,2019,193
0003-3804,2020,172
0003-3804,2021,165
0003-3804,2022,216
0003-3804,2023,211
0003-4088,2019,25
0003-4088,2020,29
0003-4088,2021,26
0003-4266,2019,68
0003-4266,2020,936
0003-4266,2021,991
0003-4266,2022,308
0003-4266,2023,1009
0003-4347,2019,46
0003-4347,2020,81
0003-4347,2021,68
0003-4347,2022,44
0003-4347,2023,66
0003-4452,2019,14
0003-4452,2020,18
0003-4452,2021,19
0003-4452,2022,28
0003-4452,2023,24
0003-4487,2019,161
0003-4487,2020,181
0003-4487,2021,164
0003-4487,2022,190
0003-4487,2023,175
0003-4746,2019,76
0003-4746,2020,96
0003-4746,2021,75
0003-4746,2022,66
0003-4746,2023,68
0003-4800,2019,71
0003-4800,2020,34
0003-4800,2021,34
0003-4800,2022,29
0003-4800,2023,41
0003-4894,2019,241
0003-4894,2020,237
0003-4894,2021,243
0003-4894,2022,183
0003-4894,2023,113
0003-4916,2019,196
0003-4916,2020,260
0003-4916,2021,221
0003-4916,2022,209
0003-4916,2023,268
0003-4932,2019,847
0003-4932,2020,1128
0003-4932,2021,607
0003-4932,2022,420
0003-4932,2023,456
0003-4967,2019,488
0003-4967,2020,726
0003-4967,2021,404
0003-4967,2022,274
0003-4967,2023,230
0003-4975,2019,995
0003-4975,2020,1106
0003-4975,2021,1075
0003-4975,2022,1208
0003-4975,2023,740
0003-5157,2019,10
0003-5157,2020,31
0003-5599,2019,99
0003-5599,2020,64
0003-5599,2021,73
0003-5599,2022,64
0003-5599,2023,69
0003-567X,2019,20
0003-567X,2020,22
0003-567X,2021,25
0003-567X,2022,22
0003-567X,2023,19
0003-5696,2020,15
0003-5696,2021,10
0003-5696,2022,11
0003-5696,2023,10
0003-5815,2019,54
0003-5815,2020,49
0003-5815,2021,36
0003-5815,2022,40
0003-5815,2023,39
0003-598X,2019,235
0003-598X,2020,242
0003-598X,2021,212
0003-598X,2022,182
0003-598X,2023,199
0003-603X,2019,26
0003-603X,2020,33
0003-603X,2021,35
0003-603X,2022,34
0003-603X,2023,35
0003-6072,2019,159
0003-6072,2020,124
0003-6072,2021,187
0003-6072,2022,114
0003-6072,2023,97
0003-6390,2019,21
0003-6390,2020,41
0003-6390,2021,26
0003-6390,2022,12
0003-6390,2023,19
0003-6811,2019,207
0003-6811,2020,243
0003-6811,2021,256
0003-6811,2022,190
0003-6811,2023,131
0003-682X,2019,418
0003-682X,2020,459
0003-682X,2021,686
0003-682X,2022,630
0003-682X,2023,492
0003-6838,2019,115
0003-6838,2020,117
0003-6838,2021,115
0003-6838,2022,117
0003-6838,2023,134
0003-6846,2019,434
0003-6846,2020,362
0003-6846,2021,481
0003-6846,2022,590
0003-6846,2023,569
0003-6862,2019,62
0003-6862,2020,47
0003-6862,2021,55
0003-6862,2022,47
0003-6862,2023,41
0003-6870,2019,210
0003-6870,2020,227
0003-6870,2021,265
0003-6870,2022,237
0003-6870,2023,185
0003-6951,2019,1932
0003-6951,2020,2116
0003-6951,2021,2399
0003-6951,2022,2126
0003-6951,2023,2425
0003-701X,2019,62
0003-701X,2020,64
0003-701X,2021,70
0003-701X,2022,99
0003-701X,2023,85
0003-7028,2019,130
0003-7028,2020,156
0003-7028,2021,132
0003-7028,2022,144
0003-7028,2023,113
0003-7982,2019,29
0003-7982,2020,25
0003-7982,2021,21
0003-7982,2022,31
0003-7982,2023,24
0003-8032,2019,12
0003-8032,2020,18
0003-8032,2021,21
0003-8032,2023,15
0003-813X,2019,68
0003-813X,2020,98
0003-813X,2021,86
0003-813X,2022,89
0003-813X,2023,75
0003-8628,2019,60
0003-8628,2020,48
0003-8628,2021,31
0003-8628,2022,38
0003-8628,2023,41
0003-889X,2019,144
0003-889X,2020,129
0003-889X,2021,124
0003-889X,2022,134
0003-889X,2023,134
0003-9101,2019,32
0003-9101,2020,53
0003-9101,2021,45
0003-9101,2022,40
0003-9101,2023,33
0003-9160,2019,19
0003-9160,2020,45
0003-9160,2021,75
0003-9160,2022,53
0003-9160,2023,27
0003-9381,2019,14
0003-9381,2020,14
0003-9381,2021,16
0003-9381,2022,13
0003-9381,2023,13
0003-9519,2019,23
0003-9519,2020,25
0003-9519,2021,16
0003-9519,2022,16
0003-9519,2023,21
0003-9527,2019,130
0003-9527,2020,110
0003-9527,2021,129
0003-9527,2022,103
0003-9527,2023,114
0003-9756,2019,45
0003-9756,2020,46
0003-9756,2021,34
0003-9756,2022,39
0003-9756,2023,35
0003-9861,2019,297
0003-9861,2020,310
0003-9861,2021,252
0003-9861,2022,230
0003-9861,2023,215
0003-9888,2019,584
0003-9888,2020,494
0003-9888,2021,383
0003-9888,2022,324
0003-9888,2023,369
0003-9969,2019,254
0003-9969,2020,278
0003-9969,2021,221
0003-9969,2022,186
0003-9969,2023,156
0003-9993,2019,930
0003-9993,2020,731
0003-9993,2021,775
0003-9993,2022,908
0003-9993,2023,506
0004-0002,2019,249
0004-0002,2020,260
0004-0002,2021,324
0004-0002,2022,330
0004-0002,2023,253
0004-069X,2019,30
0004-069X,2020,36
0004-069X,2021,36
0004-069X,2022,27
0004-069X,2023,23
0004-0894,2019,72
0004-0894,2020,83
0004-0894,2021,78
0004-0894,2022,81
0004-0894,2023,53
0004-3079,2019,53
0004-3079,2020,51
0004-3079,2021,56
0004-3079,2022,47
0004-3079,2023,44
0004-3125,2019,52
0004-3125,2020,53
0004-3125,2021,61
0004-3125,2022,74
0004-3125,2023,56
0004-3249,2019,64
0004-3249,2020,71
0004-3249,2021,66
0004-3249,2022,59
0004-3249,2023,51
0004-3389,2019,24
0004-3389,2020,19
0004-3389,2021,14
0004-3389,2022,16
0004-3389,2023,11
0004-3702,2019,83
0004-3702,2020,101
0004-3702,2021,100
0004-3702,2022,112
0004-3702,2023,142
0004-4717,2019,45
0004-4717,2020,46
0004-4717,2021,45
0004-4717,2022,45
0004-4717,2023,31
0004-5411,2019,39
0004-5411,2020,42
0004-5411,2021,53
0004-5411,2022,44
0004-5411,2023,36
0004-5632,2019,82
0004-5632,2020,76
0004-5632,2021,102
0004-5632,2022,57
0004-5632,2023,85
0004-6264,2019,131
0004-6264,2020,110
0004-6264,2021,126
0004-6264,2022,107
0004-6264,2023,88
0004-6280,2019,143
0004-6280,2020,106
0004-6280,2021,87
0004-6280,2022,125
0004-6280,2023,117
0004-6337,2019,156
0004-6337,2020,94
0004-6337,2021,195
0004-6337,2022,74
0004-6337,2023,135
0004-6361,2019,2044
0004-6361,2020,2166
0004-6361,2021,2146
0004-6361,2022,2230
0004-6361,2023,2349
0004-640X,2019,225
0004-640X,2020,190
0004-640X,2021,121
0004-640X,2022,129
0004-640X,2023,107
0004-8038,2019,91
0004-8038,2020,65
0004-8038,2021,54
0004-8038,2022,27
0004-8038,2023,33
0004-8380,2019,238
0004-8380,2020,287
0004-8380,2021,251
0004-8380,2022,174
0004-8380,2023,209
0004-8402,2019,78
0004-8402,2020,95
0004-8402,2021,86
0004-8402,2022,55
0004-8402,2023,42
0004-8658,2019,25
0004-8658,2020,26
0004-8666,2019,159
0004-8666,2020,178
0004-8666,2021,171
0004-8666,2022,167
0004-8666,2023,131
0004-8674,2019,232
0004-8674,2020,216
0004-8674,2021,263
0004-8674,2022,159
0004-8674,2023,138
0004-8992,2019,12
0004-8992,2020,20
0004-8992,2021,25
0004-8992,2022,15
0004-900X,2019,18
0004-900X,2020,46
0004-900X,2021,23
0004-900X,2022,35
0004-900X,2023,34
0004-9018,2019,45
0004-9018,2020,38
0004-9018,2021,42
0004-9018,2022,44
0004-9018,2023,39
0004-9158,2019,34
0004-9158,2020,30
0004-9158,2021,28
0004-9158,2022,22
0004-9158,2023,18
0004-9182,2019,33
0004-9182,2020,28
0004-9182,2021,24
0004-9182,2022,36
0004-9182,2023,37
0004-9425,2019,141
0004-9425,2020,165
0004-9425,2021,117
0004-9425,2022,93
0004-9425,2023,80
0004-9441,2019,24
0004-9441,2020,28
0004-9441,2021,19
0004-9441,2022,22
0004-9441,2023,21
0004-9522,2019,99
0004-9522,2020,74
0004-9522,2021,75
0004-9522,2022,58
0004-9522,2023,82
0004-959X,2019,40
0004-959X,2020,1
0004-959X,2021,37
0004-959X,2022,26
0004-959X,2023,15
0004-9727,2019,155
0004-9727,2020,163
0004-9727,2021,129
0004-9727,2022,173
0004-9727,2023,148
0005-0067,2019,50
0005-0067,2020,60
0005-0067,2021,56
0005-0067,2022,33
0005-0067,2023,53
0005-0423,2019,131
0005-0423,2020,111
0005-0423,2021,85
0005-0423,2022,72
0005-0423,2023,71
0005-1055,2019,36
0005-1055,2020,34
0005-1055,2021,34
0005-1055,2022,39
0005-1055,2023,39
0005-1098,2019,517
0005-1098,2020,559
0005-1098,2021,533
0005-1098,2022,617
0005-1098,2023,540
0005-2728,2019,90
0005-2728,2020,120
0005-2728,2021,98
0005-2728,2022,359
0005-2728,2023,59
0005-2736,2019,195
0005-2736,2020,285
0005-2736,2021,196
0005-2736,2022,168
0005-2736,2023,91
0005-576X,2019,40
0005-576X,2020,31
0005-576X,2021,49
0005-576X,2022,35
0005-576X,2023,41
0005-772X,2019,48
0005-772X,2020,29
0005-772X,2021,47
0005-772X,2022,30
0005-772X,2023,22
0005-7894,2019,96
0005-7894,2020,79
0005-7894,2021,125
0005-7894,2022,100
0005-7894,2023,83
0005-7916,2019,72
0005-7916,2020,76
0005-7916,2021,53
0005-7916,2022,60
0005-7916,2023,82
0005-7959,2019,64
0005-7959,2020,62
0005-7959,2021,96
0005-7959,2022,53
0005-7959,2023,61
0005-7967,2019,146
0005-7967,2020,148
0005-7967,2021,142
0005-7967,2022,138
0005-7967,2023,124
0005-8076,2019,42
0005-8076,2020,47
0005-8076,2021,55
0005-8076,2022,50
0005-8076,2023,49
0005-8912,2019,122
0005-8912,2020,125
0005-8912,2021,115
0005-8912,2022,114
0005-8912,2023,105
0006-1972,2019,118
0006-1972,2020,106
0006-1972,2021,115
0006-1972,2022,118
0006-1972,2023,98
0006-2014,2019,34
0006-2014,2020,30
0006-2014,2021,26
0006-2014,2022,35
0006-2014,2023,30
0006-291X,2019,1895
0006-291X,2020,1949
0006-291X,2021,1453
0006-291X,2022,1383
0006-291X,2023,1115
0006-2928,2019,46
0006-2928,2020,67
0006-2928,2021,141
0006-2928,2022,151
0006-2928,2023,278
0006-2952,2019,320
0006-2952,2020,480
0006-2952,2021,420
0006-2952,2022,403
0006-2952,2023,453
0006-2960,2019,666
0006-2960,2020,538
0006-2960,2021,459
0006-2960,2022,374
0006-2960,2023,335
0006-2979,2019,143
0006-2979,2020,153
0006-2979,2021,139
0006-2979,2022,140
0006-2979,2023,173
0006-3088,2019,214
0006-3088,2020,250
0006-3088,2021,294
0006-3088,2022,348
0006-3088,2023,277
0006-3207,2019,409
0006-3207,2020,445
0006-3207,2021,432
0006-3207,2022,305
0006-3207,2023,451
0006-3223,2019,399
0006-3223,2020,389
0006-3223,2021,403
0006-3223,2022,382
0006-3223,2023,394
0006-3231,2019,79
0006-3231,2020,96
0006-3231,2021,141
0006-3231,2022,96
0006-3231,2023,109
0006-3363,2019,231
0006-3363,2020,236
0006-3363,2021,236
0006-3363,2022,228
0006-3363,2023,185
0006-3398,2019,96
0006-3398,2020,96
0006-3398,2021,97
0006-3398,2022,96
0006-3398,2023,98
0006-341X,2019,168
0006-341X,2020,206
0006-341X,2021,192
0006-341X,2022,201
0006-341X,2023,109
0006-3444,2019,83
0006-3444,2020,117
0006-3444,2021,71
0006-3444,2022,68
0006-3444,2023,76
0006-3495,2019,3330
0006-3495,2020,3576
0006-3495,2021,2278
0006-3495,2022,3084
0006-3495,2023,3099
0006-3509,2019,139
0006-3509,2020,142
0006-3509,2021,132
0006-3509,2022,134
0006-3509,2023,138
0006-3525,2019,48
0006-3525,2020,43
0006-3525,2021,43
0006-3525,2022,20
0006-3525,2023,29
0006-355X,2019,19
0006-355X,2020,4
0006-355X,2021,8
0006-355X,2022,7
0006-355X,2023,4
0006-3568,2019,161
0006-3568,2020,159
0006-3568,2021,149
0006-3568,2022,118
0006-3568,2023,122
0006-3592,2019,325
0006-3592,2020,372
0006-3592,2021,347
0006-3592,2022,292
0006-3592,2023,318
0006-3606,2019,123
0006-3606,2020,143
0006-3606,2021,159
0006-3606,2022,133
0006-3606,2023,97
0006-3657,2019,66
0006-3657,2020,61
0006-3657,2021,50
0006-3657,2022,13
0006-3657,2023,32
0006-3835,2019,48
0006-3835,2020,37
0006-3835,2021,73
0006-3835,2022,38
0006-3835,2023,61
0006-4246,2019,41
0006-4246,2020,48
0006-4246,2021,41
0006-4246,2022,37
0006-4246,2023,28
0006-8055,2019,56
0006-8055,2020,48
0006-8055,2021,60
0006-8055,2022,41
0006-8055,2023,53
0006-8101,2019,10
0006-8101,2020,19
0006-8101,2021,31
0006-8101,2022,15
0006-8101,2023,10
0006-8314,2019,77
0006-8314,2020,91
0006-8314,2021,91
0006-8314,2022,86
0006-8314,2023,69
0006-8950,2019,422
0006-8950,2020,422
0006-8950,2021,461
0006-8950,2022,531
0006-8950,2023,452
0006-8977,2019,35
0006-8977,2020,36
0006-8977,2021,30
0006-8977,2022,49
0006-8977,2023,22
0006-8993,2019,521
0006-8993,2020,440
0006-8993,2021,352
0006-8993,2022,240
0006-8993,2023,284
0007-0610,2019,1230
0007-0610,2020,1363
0007-0610,2021,1273
0007-0610,2022,1277
0007-0610,2023,1292
0007-070X,2019,323
0007-070X,2020,268
0007-070X,2021,368
0007-070X,2022,250
0007-070X,2023,216
